Hospede_ID;Hospede_Nome;CPF;Sexo;Data_Nascimento;Cidade_Origem;UF_Origem;Email;Telefone;Nivel_Fidelidade
HSP-300279;Amisele Alvarengas;420.438.057-38;F;29-03-2005;Campinas;SP;amisele.alvarengas@icloud.com;62995424675;Bronze
HSP-939935;Alcimar Cervantes Portela;043.973.598-06;F;18-04-2003;Ribeirão Preto;SP;alcimarportela@icloud.com;(41) 97204-8353; Bronze
HSP-102218;Bernardo Viotti;057.202.590-40;M;30/05/1961;Londrina;PR;bernardoviotti@icloud.com;(51) 98009-6866;Bronze
HSP-715438;Duílio Benetton Agostini;555.439.878-20;M;23/05/2001;Goiânia;GO;duilioagostini86@outlook.com;(16) 96984-4994;Bronze
HSP-705755;Edmundo Gama Huber;704.358.112-58;M;16/01/1959;Curitiba;PR;edmundohuber@icloud.com;21968634492;Bronze
HSP-697143;Elenira Ameixa;110.248.193-96;F;18-06-1968;Niterói;RJ;elenira_ameixa@yahoo.com.br;(19) 97773-6183;Bronze
HSP-707083;Palmério Guedes Ambroses;814.491.476-74;M;18.12.49; São Paulo;SP;palmerio_ambroses@gmail.com;(16) 96640-9740;Bronze
HSP-169773;Ítalo Jung Amerino;088.210.099-80;M;17/08/1950;Curitiba;PR;italo_amerino@gmail.com;(51) 96860-6633;Ouro
HSP-281178;Volmar Alcochel Paiva;878.141.413-70;M;01/01/1991;Rio de Janeiro;RJ;volmarpaiva@outlook.com;61965254842;Bronze
HSP-463553;Antero Silveira Angeli;562.053.364-64;M;03/12/1963;Porto Alegre;RS;ANTERO_ANGELI94@OUTLOOK.COM;(16) 97895-8296;Bronze
HSP-688152;Artemia Amevo Flores;110.809.969-66;F;05/08/1949;Rio de Janeiro;RJ;artemia.flores@uol.com.br;(51) 98226-9842;Bronze
HSP-858150;Sofia Hartmann;580.392.827-56;F;23/06/1987;Brasília;DF;sofia.hartmann73@icloud.com;31990148921;Bronze
HSP-226573;Sandra  Kaneko;700.518.449-15;F;14/11/2001;Belo Horizonte;MG;sandrakaneko@yahoo.com.br;19974962275;Bronze
HSP-837808;Teruko Alencastro;723.184.322-01;F;07/11/1975;Brasília;DF;teruko.alencastro@icloud.com;(21) 98707-4773;Bronze
HSP-456421;Auliene Gama Noguchi;922.809.202-55;F;21/07/1964;Ribeirão Preto;SP;auliene_noguchi@uol.com.br;(19) 98454-1305;Bronze
HSP-818678;Carmem Suzuki;298.425.799-56;F;20-03-1965;Recife;PE;carmem.suzuki50@hotmail.com;(21) 96067-4315;Bronze
HSP-585706;Leda Carneiro Zanini;980.686.508-14;F;10/05/1952;Salvador;BA;leda_zanini62@yahoo.com.br;61984122600;Bronze
HSP-284177;isabel mori bignami;981.806.356-27;F;28/12/1999;Niterói;RJ;isabel_bignami55@icloud.com;(81) 97038-5281;Bronze
HSP-747435;Kamila Arcanjo Carta;449.562.137-86;F;08.11.71;Ribeirão Preto;SP;kamilacarta@gmail.com;(41) 98082-7562;DIAMANTE
HSP-900194;Joliele Trindade Bezerra;143.519.066-18;F;07/08/1972;Rio de Janeiro;RJ;jolielebezerra@outlook.com;81962353871;Bronze
HSP-951756;Claudilene Arrighi;920.530.214-70;F;30/07/1948;Niterói;RJ;CLAUDILENE_ARRIGHI@YAHOO.COM.BR;19984004281;Bronze
HSP-939261;Elias Amesquita;690.426.818-29;M;07/05/1957;Curitiba;PR;elias.amesquita@outlook.com;(21) 99288-9409;Prata
HSP-423768;Jeniffer Bucci Metz;071.416.335-02;F;26/12/1956;Brasília  ;DF;JENIFFER_METZ@UOL.COM.BR;(62) 96039-5314;Bronze
HSP-094382;Arcanjo Klinger;373.334.333-66;M;29/10/1976;Ribeirão Preto;SP;arcanjo.klinger@outlook.com;(31) 99190-2747;BRONZE
HSP-750464;Giovani Arduchat Marusho;947.284.639-40;M;30-11-2006;Recife;PE;giovani.marusho55@yahoo.com.br;(62) 96133-9232;Bronze
HSP-460253;Amandi Wanderley Hayashi;942.843.479-50;F;07/01/1961;Campinas;SP;amandi_hayashi@yahoo.com.br;(19) 96862-7866;Bronze
HSP-152022;Frida Castellani Yamamoto;663.227.026-37;F;31/03/1956;Rio de Janeiro;RJ;frida_yamamoto81@uol.com.br;(62) 98951-6172;Bronze
HSP-012280;Ariel Amiran Anibal;545.588.450-65;F;08/10/1971;São Paulo;SP;ariel_anibal87@uol.com.br;(41) 98362-9821;Prata
HSP-740649;Antero Eisenhardt Petraglia;256.996.112-40;M;10/10/1963;Goiânia;GO;antero_petraglia41@icloud.com;(51) 98909-5382;Bronze
HSP-410769;Anaís Hammes Aoki;132.611.178-77;F;10-02-1967;Goiânia;GO;anais.aoki51@uol.com.br;(21) 96425-5300;Bronze
HSP-741510;Caetano Jost Danner;557.784.872-58;M;25/04/1985;Belo Horizonte;MG;caetanodanner@uol.com.br;(81) 97870-8126;Bronze
HSP-432308;Cilinha Ameixoeira Bertolucci;254.780.774-29;F;23/06/1999;Uberlândia;MG;cilinha.bertolucci@outlook.com;(81) 96947-1118;Bronze
HSP-173324;Sebastiana Amiraldo Meissner;389.448.463-24;F;02/02/1985;Brasília;DF;sebastiana.meissner38@gmail.com;(16) 98530-8418;Bronze
HSP-190921;Potira Makino Alessi;703.120.735-50;F;08/10/2005;Porto Alegre;RS;potira_alessi64@outlook.com;(16) 98854-1519;Bronze
HSP-041888;auristela duarte;136.730.371-02;F;1972-04-21;Curitiba;PR;auristeladuarte@hotmail.com;16975936113;Prata
HSP-261882;Malvina Campos Amesquita;136.502.491-11;F;20/07/1996;Goiânia;GO;malvina_amesquita@gmail.com;11983808786;Bronze
HSP-069960;Naircio Brunetti;281.273.585-68;M;29/08/1962;Rio de Janeiro;RJ;naircio_brunetti@gmail.com;(19) 97467-3207;Bronze
HSP-611372;Rafaela Meller Amilo;982.182.744-64;F;26/10/1958;Curitiba;PR;rafaelaamilo@gmail.com;(62) 97552-4039;Bronze
HSP-653545;Lívio Bonetti Ehlers;945.651.181-22;M;29/10/2001;Londrina;PR;livio.ehlers@hotmail.com;31995771512;Bronze
HSP-634650;Fabrício Andreis Chaves;391.037.170-11;M;13/04/1956;São Paulo;SP;fabricio_chaves@yahoo.com.br;(61) 99253-1955;Bronze
HSP-025123;Jara Lacerda;383.928.861-43;F;30.03.80;Niterói;RJ;jaralacerda@icloud.com;(16) 98877-7997;Prata
HSP-319433;Lúcio Amestoy;556.659.398-46;M;26/03/1962;Brasília;DF;lucio.amestoy@uol.com.br;51974748412;Prata
HSP-018092;Amaris Monteiro;504.888.992-49;F;23/01/1954;Curitiba;PR;amaris.monteiro46@hotmail.com;31970857014;Prata
HSP-520344;Willian Bauer Cabral;919.409.610-41;M;23/08/1971;RECIFE;PE;willian_cabral56@yahoo.com.br;(21) 99562-4714;Bronze
HSP-353616;Odirlei Brandt;679.981.364-30;M;25/10/2003;Goiânia;GO;odirlei_brandt44@gmail.com;(16) 98340-1807;Bronze
HSP-711546;Amadja Klinger;389.833.146-64;F;12/07/1968;Goiânia;GO;amadja_klinger@uol.com.br;(21) 96460-7776;Bronze
HSP-671388;Gertrude Andreasi Ehlers;927.033.521-66;F;25-03-1954;Porto Alegre;RS;gertrude.ehlers@hotmail.com;81997953419;Prata
HSP-025252;Jéssica Franco Brandt;792.069.804-91;F;28-03-1965;Salvador;BA;jessica.brandt26@icloud.com;81971111869;Bronze
HSP-693128;Sofie Tavares;636.815.798-49;F;1983-03-03;Brasília;DF;sofie.tavares65@yahoo.com.br;(62) 99794-1352;Bronze
HSP-706339;Alceu Brandt Fiedler;840.460.843-16;M;20/03/1972;Salvador;BA;alceu.fiedler51@icloud.com;(31) 96359-7262;Bronze
HSP-993521;Watila Antelo;832.482.629-74;M;1969-04-01;Rio de Janeiro;RJ;watila.antelo72@uol.com.br;(21) 96754-6203;Bronze
HSP-786711;Arthur Kurz Kühn;220.994.999-85;M;07/10/1967;Curitiba;PR;arthur.kuhn@hotmail.com;(11) 97471-2302;Prata
HSP-384110;Isabel Aranda Hasegawa;046.333.127-31;F;26/03/1949;Londrina;PR;isabelhasegawa@outlook.com;(16) 99635-5043;Ouro
HSP-739556;Amiga Arão;081.770.388-85;F;20/05/1973;Londrina;PR;amiga_arao@gmail.com;62975869456;BRONZE
HSP-446051;Ramon Mentz Klement;718.129.826-74;M;10/11/1981;Curitiba;PR;ramon_klement4@hotmail.com;(16) 98417-4308;Prata
HSP-711435;Célia Eichler Menezes;689.268.602-80;F;18/10/1992;RIBEIRÃO PRETO;SP;celia_menezes@icloud.com;31966643369;Bronze
HSP-218907;Kauan Busch Danner;077.780.973-70;M;23/06/1967;Londrina;PR;kauan.danner@yahoo.com.br;16976798239;Bronze
HSP-658016;Erivan Alves Bottaro;020.994.510-95;M;23.07.82;Goiânia;GO;erivan.bottaro@hotmail.com;(31) 98752-5659;Bronze
HSP-738878;Kenji Antipas Haas;147.214.586-06;M;26/02/1999;São Paulo;SP;kenjihaas27@uol.com.br;11964479666;ouro
HSP-482569;Genar Beserra Aranda;997.877.293-60;M;29/09/1981;Uberlândia;MG;genararanda25@gmail.com;(21) 96098-8616;Bronze
HSP-382662;Silvestre Lang Kurz;144.885.015-08;M;25/07/1977;São Paulo;SP;silvestre_kurz@uol.com.br;(81) 99932-1477;Ouro
HSP-764685;Robson Frank Yoshida;576.084.958-12;M;09/12/1964;Salvador;BA;robsonyoshida74@icloud.com;(61) 99274-6793;Bronze
HSP-516117;Jonas Ramos Franke;450.461.735-81;M;21/04/1951;Brasília;DF;jonas_franke@outlook.com;(41) 98150-5953;Prata
HSP-579134;Flávio Correia Arrighi;845.218.230-92;M;12/09/1967;Campinas;SP;flavio_arrighi@uol.com.br;21960166095;Bronze
HSP-177076;EVERALDO FIEDLER;353.344.857-67;M;16.05.03;Salvador;BA;EVERALDOFIEDLER20@HOTMAIL.COM;(51) 96468-1249;Bronze
HSP-172206;Silvano Grass Amesquita;587.020.701-03;M;12.03.83;Porto Alegre;RS;SILVANO_AMESQUITA55@YAHOO.COM.BR;(31) 98886-8304;Bronze
HSP-097508;Ataíde Antoniolli Takeda;717.477.332-02;F;25.08.59;Uberlândia;MG;ATAIDETAKEDA47@YAHOO.COM.BR;(31) 98865-6412;Bronze
HSP-341761;Damineide Cardoso Medeiros;161.581.487-68;F;19/05/1997;Salvador;BA;damineide_medeiros@hotmail.com;81969989977;Bronze
HSP-495361;Floriano Brito Franzen;197.199.758-73;M;29/06/1954;Belo Horizonte;MG;floriano.franzen@hotmail.com;(51) 99915-7648;Bronze
HSP-734608;Anacleto Bomfim;902.278.469-07;M;01-01-1954;Niterói;RJ;anacletobomfim@hotmail.com;61972275989;Ouro
HSP-941235;Cileide Antonelli;008.514.036-89;F;25/08/1952;São Paulo;SP;cileideantonelli@icloud.com;(61) 98915-7271;Bronze
HSP-413981;Keiko Amerino Barreto;220.102.762-56;F;14/12/1991;Ribeirão Preto;SP;keiko.barreto54@yahoo.com.br;(81) 99810-7974;Bronze
HSP-324047;Udo Lorenz Amezola;846.895.009-24;M;18/02/1967;Niterói;RJ;udo_amezola@gmail.com;81979722311;Bronze
HSP-804790;Josemar Abe Alfonsin;894.905.807-32;M;22/07/1960;Campinas;SP;josemar_alfonsin@yahoo.com.br;(81) 99005-6431;Prata
HSP-775041;Gina Chiappetta Trindade;049.047.128-54;F;22/11/1953;São Paulo;SP;gina.trindade@outlook.com;(51) 96542-5603;Bronze
HSP-976317;Alvanete Freire;372.805.129-25;F;1991-11-05;Recife;PE;alvanete.freire@yahoo.com.br;(19) 96974-8211;Bronze
HSP-711337;Teobaldo Gieseler Guimarães;836.674.286-50;M;16/10/1983;Ribeirão Preto;SP;teobaldo.guimaraes58@yahoo.com.br;(61) 99939-9687;Bronze
HSP-662282;Edson Arconi Grimm;967.393.852-03;M;09/10/1968;Niterói;RJ;edson_grimm@icloud.com;11994062113;Bronze
HSP-372060;Vladmir Alvinhos;939.111.926-30;M;03/07/1967;Campinas;SP;vladmiralvinhos@icloud.com;(81) 99289-4027;Prata
HSP-692497;Otto Cilento Okamoto;542.140.665-29;M;18.09.00;Ribeirão Preto;SP;otto.okamoto34@hotmail.com;(16) 96284-9056;Bronze
HSP-172697;Wanderson Zara Ardani;101.194.707-21;M;12/10/1997;Salvador;BA;wanderson.ardani@gmail.com;(11) 98722-7397;Bronze
HSP-594487;Lídia Erdmann Jung;183.067.198-75;F;06/03/2007;Recife;PE;lidia_jung39@yahoo.com.br;11985892485;Bronze
HSP-610316;Jeanine Alencar Matsumoto;157.173.203-96;F;30/06/1981;Uberlândia;MG;jeanine.matsumoto@uol.com.br;(41) 98003-7369;Bronze
HSP-903374;Leodegar Busch Abrunhosa;387.829.310-03;M;15/03/1967;Goiânia;GO;leodegarabrunhosa84@gmail.com;(16) 99715-1750;Bronze
HSP-980680;Inácio Vilela;117.993.136-03;M;10/01/2003;Ribeirão Preto;SP;inacio_vilela@icloud.com;(19) 97328-2979;Bronze
HSP-311465;Edevaldo Nogueira;739.021.962-97;M;1991-12-13;Recife;PE;EDEVALDO.NOGUEIRA@GMAIL.COM;(11) 96029-3939;Bronze
HSP-265496;Douglas Langer Hayakawa;092.791.456-57;M;15/02/1996;Londrina;PR;douglas.hayakawa@hotmail.com;(21) 98171-2567;Bronze
HSP-621769;Jéssyca Benedetti Nishimura;772.200.543-86;F;1951-04-23;Uberlândia;MG;jessyca_nishimura79@yahoo.com.br;(11) 96427-1859;Bronze
HSP-024547;Laercio Sakamoto;531.531.363-86;M;04/02/1997;Goiânia;GO;laercio_sakamoto@gmail.com;(16) 98396-8936;Bronze
HSP-134132;Tino Battaglini;520.904.217-03;M;09.09.66;Recife;PE;tino_battaglini@outlook.com;(41) 99630-5835;Bronze
HSP-084958;Iberê Antipa;406.335.693-05;M;26.11.86;Goiânia;GO;ibereantipa@uol.com.br;11977111724;Bronze
HSP-386040;Shoiti Afonso Cruz;063.254.310-81;M;1959-11-11;Brasília;DF;shoiti_cruz@hotmail.com;(16) 99514-1399;Bronze
HSP-670636;Denise Krause;804.649.893-96;F;12-04-1974;Rio de Janeiro;RJ;denisekrause43@icloud.com;(11) 98108-6963;Bronze
HSP-315072;Filipe Hartmann Abe;538.179.335-92;M;04-11-2003;Recife;PE;filipe_abe@uol.com.br;(19) 97135-1892;Diamante
HSP-845884;Nairo Kobayashi Takahashi;513.711.624-68;M;04.04.60;Goiânia;GO;nairo.takahashi36@gmail.com;31980323465;Bronze
HSP-944701;Joinville Andrade Ciaramicoli;038.569.557-80;M;08/12/1958;Brasília;DF;joinvilleciaramicoli@uol.com.br;(62) 97823-8503;Bronze
HSP-232812;Karina Brun;292.842.222-65;F;08-03-1984;Rio de Janeiro;RJ;karina.brun41@uol.com.br;(31) 97805-5266;Bronze
HSP-691495;Rosária Amiran;106.727.520-77;F;2004-05-25;Londrina;PR;rosariaamiran@uol.com.br;61986515842;Bronze
HSP-793140;Anniele Arduno Portela;814.069.375-84;F;19-10-1956;Uberlândia;MG;anniele.portela78@icloud.com;(41) 98389-9625;Bronze
HSP-869934;Aldair Andrade;998.056.265-04;M;17/03/1959;Campinas;SP;aldair_andrade@outlook.com;(61) 97439-6047;Bronze
HSP-744178;Julieth Bassetti;629.912.347-84;F;28/08/1967;Londrina;PR;juliethbassetti@gmail.com;(81) 99097-7156;Diamante
HSP-577113;Daniel Arconti Carnevali;870.494.787-84;M;1991-10-27;Brasília;DF;daniel.carnevali1@hotmail.com;(51) 97229-8742;Bronze
HSP-212907;Arcanjo Zeferino Makino;979.647.158-28;M;30-08-1949;Londrina;PR;arcanjomakino@outlook.com;(31) 98382-1958;Bronze
HSP-036902;Edgar Portela Moura;183.219.285-79;M;09/11/1992;Porto Alegre;RS;EDGAR_MOURA@ICLOUD.COM;(51) 97111-6939;Bronze
HSP-534391;Lajônio Greiner Paula;283.389.888-63;M;1995-03-23;São Paulo;SP;lajoniopaula@gmail.com;(19) 97886-2251;Bronze
HSP-614959;Irineu Tsuda;240.132.234-57;M;23.07.79;Porto Alegre;RS;irineu.tsuda11@yahoo.com.br;(21) 96318-1308;Prata
HSP-750120;Clarisa Antoniazzi;011.939.325-56;F;26/07/2004;Campinas;SP;clarisa.antoniazzi96@outlook.com;(81) 97424-6770;Prata
HSP-087579;Jaci Archane Borsari;280.138.759-20;M;08/05/1956;Goiânia;GO;jaci.borsari@gmail.com;(31) 99419-6813;Prata
HSP-191117;Brenda Aldrovandi;480.157.164-62;F;11/12/1970;Belo Horizonte;MG;brenda_aldrovandi@outlook.com;16969257672;Bronze
HSP-930663;Claudia Silveira;811.266.912-08;F;01/11/1964;Niterói;RJ;claudia.silveira@hotmail.com;61968207623;Ouro
HSP-578936;Willian Abrunhosa Casiraghi;678.427.114-96;M;21-04-1955;Uberlândia;MG;willian_casiraghi@icloud.com;31961212631;Bronze
HSP-633676;Davi Weiss Machado;877.347.784-29;M;07/03/1973;Rio de Janeiro;RJ;davimachado70@uol.com.br;11999011517;Prata
HSP-401678;Georgina Watanabe Drissen;276.246.719-56;F;30/09/1973;Niterói;RJ;georginadrissen@uol.com.br;(62) 98343-8697;Diamante
HSP-253672;Juliette Aguilar;009.025.590-95;F;25/05/1972;São Paulo;SP;julietteaguilar13@yahoo.com.br;61974637749;Bronze
HSP-306811;Haline Bottaro Brunelli;850.769.864-67;F;14/05/1949;Belo Horizonte;MG;haline.brunelli@uol.com.br;(11) 97296-7188;Bronze
HSP-357363;Audinelma Cavalcante Kawamoto;637.183.440-17;F;13-01-1989;Campinas;SP;audinelma_kawamoto@yahoo.com.br;(41) 98558-2506;Bronze
HSP-427638;Josué Carnevali Tavares;685.366.498-10;M;13/11/1959;Recife;PE;josue_tavares@uol.com.br;31996081304;Bronze
HSP-268899;Nabor Bartoloni Ardon;083.572.324-00;M;02/08/1965;Niterói;RJ;nabor_ardon@gmail.com;(41) 99465-7757;Bronze
HSP-221073;Aniete Seabra Bussolini;786.603.242-42;F;27/07/1953;Ribeirão Preto;SP;aniete.bussolini36@icloud.com;(62) 96720-1691;Bronze
HSP-209868;Raquel Ávila;623.198.189-44;F;15/07/1953;Porto Alegre;RS;raquelavila12@hotmail.com;81965006134;bronze
HSP-119425;Larise Jost Boin;785.158.673-97;F;14.12.87;Brasília;DF;larise_boin@hotmail.com;61979467025;Bronze
HSP-672539;Sabrina Arantes Monteiro;518.376.064-04;F;09-08-2002;Niterói;RJ;sabrina_monteiro97@hotmail.com;(51) 96861-3625;Bronze
HSP-207479;Maina Ardaillon Krebs;561.248.156-05;F;20/06/2004;Uberlândia;MG;mainakrebs@uol.com.br;(61) 97856-1448;Ouro
HSP-463015;Otto Metzger Arcosi;296.577.242-10;M;27-03-2007;Rio de Janeiro;RJ;ottoarcosi@outlook.com;51968132382;Bronze
HSP-299669;Brigitte Kaminski;734.206.969-81;F;03/05/1956;Brasília;DF;brigitte_kaminski48@hotmail.com;(81) 96480-1231;Bronze
HSP-187241;Damineide Matsuo Guedes;393.436.262-15;F;14/04/1989;Belo Horizonte;MG;damineide.guedes34@hotmail.com;81978475068;Prata
HSP-489323;Laris Ardeal Kimura;694.118.005-64;F;2006-08-01;Campinas;SP;laris.kimura@outlook.com;81998471745;Bronze
HSP-618011;Alisson Archetti Hofmann;757.215.862-57;M;06/02/1972;Curitiba;PR;alisson_hofmann6@hotmail.com;(16) 99570-5603;Bronze
HSP-541749;Claris Calvi Archane;870.320.320-44;F;06/11/1983;Niterói;RJ;claris_archane91@yahoo.com.br;(19) 96475-9108;Ouro
HSP-171322;Werner Amiraldo Sakamoto;284.993.908-03;M;13/04/1963;Salvador;BA;wernersakamoto10@hotmail.com;(16) 98772-2545;Bronze
HSP-391304;Bruna Riedel Vogt;774.905.097-34;F;23/02/1972;Campinas;SP;bruna_vogt@icloud.com;81965294463;Bronze
HSP-331980;Amós Miranda Lacerda;326.642.147-72;M;23.06.53;Goiânia;GO;amos_lacerda@outlook.com;(81) 96537-6882;Bronze
HSP-454786;Marcelino Armani Konno;661.085.732-60;M;10/09/1972;Salvador;BA;marcelino_konno@icloud.com;62963435762;Prata
HSP-963245;Claudiele Ota;810.818.661-79;F;06-03-1994;Curitiba;PR;claudiele_ota@uol.com.br;(51) 97455-5175;Bronze
HSP-113082;Jadir Gama;977.945.232-06;M;25/12/1965;Londrina;PR;jadir.gama@uol.com.br;(51) 99570-2742;Bronze
HSP-064467;Jeanine Ferreira;749.956.412-62;F;15/01/1997;Brasília;DF;jeanine.ferreira15@gmail.com;(41) 99518-1439;Bronze
HSP-885071;Faustino Pessoa Ardene;601.227.770-93;M;31.05.68;Belo Horizonte;MG;faustino_ardene@hotmail.com;51983327418;Bronze
HSP-987552;Esmeraldo  Drumond;767.899.730-28;M;09/10/1968;Ribeirão Preto;SP;esmeraldodrumond74@outlook.com;62962605388;Bronze
HSP-360213;Dinéa Matsuo;383.959.724-23;F;15.07.49;Recife;PE;dineamatsuo@yahoo.com.br;(61) 99260-8738;Bronze
HSP-116149;Silvestre Espírito Santo Bessa;433.800.545-93;M;1964-03-09;Ribeirão Preto;SP;silvestrebessa65@gmail.com;(21) 97383-8055;Bronze
HSP-497775;Piraí Gusmão;289.107.711-35;M;28/05/1987;Goiânia;GO;piraigusmao@gmail.com;(62) 96171-9311; Bronze
HSP-777481;Magno Guerra Avanzini;552.137.603-84;M;03/06/1993;Porto Alegre;RS;magno_avanzini65@hotmail.com;(21) 97089-7101;Bronze
HSP-428444;Laura Arduchin Brambilla;850.720.811-84;F;29/12/1959;Rio de Janeiro;RJ;laura_brambilla99@hotmail.com;(19) 96251-7443;Bronze
HSP-948787;Jorge Diniz Arcipreste;550.489.267-81;M;16/11/1960;Londrina;PR;jorgearcipreste70@uol.com.br;(81) 98670-8244;Diamante
HSP-537855;Perla Antoniolli Becker;318.848.520-41;F;11/03/2004;Campinas;SP;perla.becker@uol.com.br;81970594954;Bronze
HSP-251794;AMISELE FRANCO MAGALHÃES;907.539.989-80;F;18/01/1974;Niterói;RJ;amisele.magalhaes@outlook.com;(81) 98754-3293;Bronze
HSP-583078;Izabela Brunelli Esteves;110.627.371-05;F;05/03/1961;Porto Alegre;RS;izabela_esteves@yahoo.com.br;(81) 98289-9502;Prata
HSP-697415;Amara Abraão Arconet;772.881.377-32;F;11/01/1968;Brasília;DF;amara.arconet@uol.com.br;(61) 99775-2945;Bronze
HSP-013934;Elzira Heckmann;229.604.432-84;F;12/07/1981;Recife;PE;elziraheckmann@gmail.com;(62) 97428-2106;Prata
HSP-974767;Watila Antelo Decker  ;877.725.199-74;M;04/12/1966;Recife;PE;watila_decker@yahoo.com.br;(61) 98215-1750;Prata
HSP-577515;Anatilde Boaventura Taveira;398.909.837-37;F;14/04/2005;Londrina;PR;anatildetaveira@gmail.com;62967361310;Bronze
HSP-864080;Acília Antipode;626.085.641-51;F;01/12/1999;Salvador;BA;acilia.antipode@uol.com.br;(31) 97168-3359;Prata
HSP-609172;Altair Sacramento;152.654.610-86;M;21-12-1970;Curitiba;PR;altair.sacramento77@uol.com.br;41980199333;Bronze
HSP-444282;Evangelina Vasconcelos Echer;913.824.967-70;F;20/11/1957;Salvador;BA;evangelina.echer@uol.com.br;(41) 99206-3332;Prata
HSP-950896;Jewel Brambilla;200.749.465-52;F;29/06/1969;Goiânia;GO;jewelbrambilla66@outlook.com;(11) 96661-9750;Diamante
HSP-879825;Azor Kiefer;554.743.553-86;M;1996-06-23;Londrina;PR;azor_kiefer@outlook.com;11997433190;Bronze
HSP-487757;Valter Rodrigues Gomes;180.715.695-85;M;10/12/1991;Ribeirão Preto;SP;valter_gomes99@icloud.com;(11) 96511-8580;Bronze
HSP-767186;Sueli Gomes Benini;337.504.793-21;F;25-09-2005;Londrina;PR;sueli.benini82@yahoo.com.br;21995635544;Bronze
HSP-661571;Norma Angeli Ardito;938.430.894-34;F;03-10-1956;Londrina;PR;normaardito@yahoo.com.br;11998417997;Bronze
HSP-437822;Edilson Krebs Carosi;687.506.351-40;M;04/01/1961;Campinas;SP;edilsoncarosi@icloud.com;41988247943;Bronze
HSP-060407;Alcino Sousa;543.173.505-56;M;17/08/1979;Porto Alegre;RS;alcinosousa@gmail.com;(81) 98537-8184;Bronze
HSP-386708;Heinz Lemos Basílio;049.611.080-22;M;08/07/2004;São Paulo;SP;heinz_basilio@yahoo.com.br;(21) 98528-7735;Bronze
HSP-446166;Cassio  Arcieri Costa;078.593.110-46;M;24/01/1973;Salvador;BA;cassiocosta@uol.com.br;(41) 99704-3064;Prata
HSP-270349;Elena Ishii Archimedes;549.822.749-32;F;30/10/1990;Salvador;BA;elena_archimedes2@uol.com.br;(81) 98693-3369;Bronze
HSP-129736;Abraão Amilo Guimarães;795.995.946-30;M;30/08/1976;Brasília;DF;abraao_guimaraes59@gmail.com;(16) 96898-1060;Ouro
HSP-793721;Waldir Arcieri Bartoloni;050.150.812-00;M;18.05.64;Belo Horizonte;MG;waldir_bartoloni@icloud.com;(81) 99738-6896;Bronze
HSP-221821;Arthur Antoniolli;241.026.153-18;M;20/11/1991;Curitiba;PR;arthur_antoniolli@outlook.com;(61) 98707-3807;Diamante
HSP-133592;Aldaci Paula;099.384.253-48;F;30-06-1990;Rio de Janeiro;RJ;aldaci.paula@outlook.com;(31) 99487-9327;Prata
HSP-057654;Adalmira Anjos Yamaguchi;725.587.774-59;F;06/05/1952;Uberlândia  ;MG;adalmirayamaguchi@uol.com.br;(11) 96848-4596;Bronze
HSP-431820;Alwin Kirst;147.853.907-00;M;22/01/1980;Belo Horizonte;MG;alwinkirst@yahoo.com.br;(16) 97915-8086;Bronze
