Funcionario_ID;Funcionario_Nome;Hotel_ID;Setor;Cargo;Turno;Data_Admissao;Salario_Mensal
FUN-64450;Alertina Bertoldi Rodrigues;HTL-602;Recepção;Concierge;Noite;2021-03-29;2920,35
FUN-88121;Hiroko Batista Caldas;HTL-782;Manutenção;Técnico de Manutenção;Manhã;2016-04-04;2372,59
FUN-57110;Jânio Paula Archimedes;HTL-356;Gestão;Gerente de Hospedagem;Noite;2020-03-16;6659,79
FUN-52300;Marvaldo Ardin Gama;HTL-105;Governança;Camareira;Noite;2018-11-08;1931,58
FUN-02100;Damira Sakamoto Hack;HTL-606;Gestão;Gerente Geral;Manhã;2024-11-08;10544,44
FUN-54122;Roni Lorenz Krueger;HTL-356;Gestão;Gerente Geral;Noite;2016-04-28;16631,45
FUN-91260;Lourival Alarcão Alvarengas;HTL-602;Gestão;Gerente de Hospedagem;Tarde;2024-07-13;6626,93
FUN-37129;Angélica Seabra Arconte;HTL-485;Gestão;Gerente Geral;Tarde;2021-06-23;9604,49
FUN-76103;Iracelma Ameixial;HTL-105;Manutenção;Técnico de Manutenção;Tarde;2024-10-31;2616,97
FUN-08109;Paulo Hayakawa Albergaria;HTL-108;Governança;Supervisora de Andar;Tarde;2016-01-05;3196,42
FUN-50986;Basílio Frank Diesel;HTL-878;A&B;Garçom;Tarde;2016-03-15;2197,66
FUN-09158;Úrsula Jost;HTL-108;A&B;Garçom;Tarde;2025-10-03;2235,87
FUN-95116;Benício Grimaldi Araxá;HTL-878;Gestão;Gerente de Hospedagem;Noite;2025-08-07;9492,46
FUN-16740;Cecília Aramis;HTL-606;Recepção;Recepcionista;Manhã;2019-12-07;3194,5
FUN-55560;Leonardo Avanzini Cavalcante;HTL-785;Gestão;Gerente Geral;Tarde;2020-10-04;11807,03
FUN-02909;Epitácio Abilio Michels;HTL-108;Governança;Camareira;Manhã;2019-12-25;2322,73
FUN-83865;Félix Melo Benedetti;HTL-602;Governança;Camareira;Noite;2021-06-04;1843,81
FUN-85412;Anélia Drissen Amiran;HTL-602;Gestão;Gerente Geral;Tarde;2020-07-08;13843,09
FUN-91256;Lajar Bruno Guerreiro;HTL-485;Gestão;Gerente de Hospedagem;Tarde;2018-11-13;6843,05
FUN-12040;Manuela Feitosa;HTL-785;Governança;Supervisora de Andar;Manhã;2019-11-01;2850,95
FUN-09378;Valéska Acioli Kroener;HTL-785;Gestão;Gerente Geral;Noite;2025-01-13;10235,59
FUN-82886;Elinor Franke Alves;HTL-356;Manutenção;Técnico de Manutenção;Tarde;2019-11-03;3398,0
FUN-11460;Ingo Abreu Sousa;HTL-108;Gestão;Gerente Geral;Noite;2017-04-18;16346,2
FUN-94946;Naila Miyazaki Astori;HTL-356;Manutenção;Eletricista Predial;Tarde;2022-02-03;3665,06
FUN-00614;Vera Löffler Arden;HTL-105;Recepção;Auditor Noturno;Noite;2017-01-05;3382,35
FUN-64047;Osvaldir Antipa Siqueira;HTL-782;Governança;Camareira;Noite;2024-10-27;1856,36
FUN-26294;Milena Arcanjo;HTL-878;A&B;Garçom;Tarde;2021-02-01;1970,4
FUN-75391;Aparecida Antipa Ameixial;HTL-785;Recepção;Concierge;Manhã;2017-11-21;3519,38
FUN-87712;Joilson Ota;HTL-485;A&B;Garçom;Noite;2018-02-27;2472,59
FUN-23383;Rosa Grüber Menezes;HTL-785;Manutenção;Eletricista Predial;Noite;2020-09-15;3057,45
FUN-67282;Genar Capraro Ecker;HTL-782;Governança;Supervisora de Andar;Tarde;2018-12-01;3303,22
FUN-48683;Gloria Amende Baglietto;HTL-878;Governança;Supervisora de Andar;Noite;2022-02-03;3399,97
FUN-16922;Eunice Arconte Artoni;HTL-602;Governança;Supervisora de Andar;Manhã;2023-10-21;2852,22
FUN-86199;Vicente Battistini;HTL-356;Governança;Supervisora de Andar;Noite;2020-10-15;3200,18
FUN-07814;Ivaldo Castilho Couto;HTL-105;Governança;Camareira;Tarde;2018-08-19;1864,67
FUN-74014;Nathan Fujita Schaefer;HTL-606;Governança;Supervisora de Andar;Tarde;2023-07-22;2506,41
FUN-86194;Viviane Hilbert Fujita;HTL-602;Manutenção;Técnico de Manutenção;Tarde;2015-08-01;2622,4
FUN-83716;Roberto Garcia Arcoverde;HTL-602;A&B;Barman;Tarde;2018-02-14;2144,79
FUN-35080;Waleska Diesel;HTL-103;Governança;Supervisora de Andar;Noite;2017-07-13;3321,66
FUN-09324;Eva Bertozzi;HTL-356;Governança;Camareira;Noite;2015-10-25;2276,91
FUN-82240;Valdemir Ambrosi;HTL-782;Recepção;Recepcionista;Manhã;2016-08-08;2331,09
FUN-59516;Aelma Lehmann Callegari;HTL-878;Recepção;Auditor Noturno;Manhã;2018-12-07;3078,36
FUN-91682;Cecília Bezerra Aramis;HTL-485;Gestão;Gerente Geral;Manhã;2021-09-23;14121,62
FUN-23361;Idalina Elias Antipas;HTL-105;Manutenção;Eletricista Predial;Manhã;2017-08-24;3395,83
FUN-96752;Aldair Vale Rego;HTL-356;A&B;Barman;Noite;2018-04-20;2852,69
FUN-90839;Nobuo Flores Alencastro;HTL-356;Governança;Camareira;Tarde;2023-03-28;2323,97
FUN-66580;Auditene Bertoldi;HTL-105;Manutenção;Eletricista Predial;Noite;2018-05-25;3088,58
FUN-67814;Naircio Lemos Azambuja;HTL-105;Recepção;Recepcionista;Noite;2025-04-04;2302,5
FUN-36000;Joaldo Ecker Franzen;HTL-105;Gestão;Gerente Geral;Tarde;2023-01-23;16118,17
FUN-95155;Naelson Ardin Antoniazzi;HTL-602;Gestão;Gerente de Hospedagem;Manhã;2019-05-14;6905,15
FUN-48159;Agostinho Ardone Bignami;HTL-785;Governança;Camareira;Manhã;2024-04-02;1937,65
FUN-08828;Lorenna Monteiro;HTL-103;Governança;Camareira;Noite;2015-10-08;2181,73
FUN-41540;Raquel Cipollone Queirós;HTL-356;Governança;Camareira;Manhã;2017-09-21;2044,53
FUN-89330;Taise Nishimura Ardeal;HTL-105;Governança;Camareira;Noite;2017-08-27;1977,89
FUN-58686;Elonilda Almada Barros;HTL-105;A&B;Garçom;Manhã;2016-04-07;2208,08
FUN-22027;Auristela Alencastro Assis;HTL-485;Manutenção;Eletricista Predial;Noite;2025-03-08;3774,32
FUN-17963;Amélita Suzuki;HTL-356;Recepção;Auditor Noturno;Noite;2016-05-06;3484,64
FUN-17671;Efigênia Luca Carboni;HTL-878;Gestão;Gerente Geral;Tarde;2020-06-27;17146,34
FUN-74292;Rudolf Zimmer Duarte;HTL-105;Gestão;Gerente Geral;Noite;2016-09-23;16658,35
FUN-05739;Nathan Archanjo;HTL-485;Governança;Camareira;Tarde;2023-01-01;2383,99
FUN-52793;Lian Muniz;HTL-606;Manutenção;Técnico de Manutenção;Tarde;2024-10-05;2666,65
FUN-43763;Bruna Mayer Galvão;HTL-782;Manutenção;Eletricista Predial;Tarde;2015-12-21;3133,35
FUN-02284;Heitor Saraiva Haas;HTL-878;A&B;Barman;Tarde;2021-07-21;2796,19
FUN-25422;Pedro Moura Kobayashi;HTL-105;Gestão;Gerente de Hospedagem;Manhã;2020-05-25;8244,46
FUN-62419;Baltazar Borges Krause;HTL-878;Recepção;Concierge;Noite;2016-06-01;4145,2
FUN-21094;Tino Michels Galvão;HTL-103;Governança;Camareira;Tarde;2021-06-07;1825,46
FUN-88671;Elizinete Antonioli Amilde;HTL-878;Gestão;Gerente de Hospedagem;Manhã;2020-08-20;6486,45
FUN-15867;Jandaia Arcis;HTL-878;Manutenção;Eletricista Predial;Tarde;2023-12-03;3565,18
FUN-29213;Valeska Hermann Alegria;HTL-606;A&B;Barman;Manhã;2016-05-08;2777,09
FUN-30585;Rafael Abbate;HTL-782;Recepção;Concierge;Tarde;2024-12-30;3870,9
FUN-76325;Warley Weiss Angiolini;HTL-878;Gestão;Gerente de Hospedagem;Manhã;2020-09-10;9017,49
FUN-92311;Adalina Anjos;HTL-785;Manutenção;Técnico de Manutenção;Noite;2017-10-25;2494,12
FUN-70697;Makoto Ameixoeira;HTL-606;Gestão;Gerente Geral;Tarde;2019-10-31;10126,27
FUN-97609;Ian Brunetti;HTL-782;Gestão;Gerente Geral;Noite;2016-02-19;12282,29
FUN-36473;Keiko Lüdtke Elias;HTL-785;Governança;Camareira;Noite;2023-07-09;2090,82
FUN-57664;Angelines Pinto;HTL-485;Manutenção;Técnico de Manutenção;Manhã;2020-11-27;2774,84
FUN-69104;Rangel Amaro;HTL-356;Manutenção;Eletricista Predial;Manhã;2018-05-10;3768,46
FUN-90234;Amábile Sousa;HTL-602;Recepção;Auditor Noturno;Manhã;2018-09-21;3306,72
FUN-69727;Jânio Matsuo;HTL-878;Governança;Supervisora de Andar;Noite;2023-12-11;2969,86
FUN-37973;Horácio Bevilacqua Noguchi;HTL-785;A&B;Garçom;Noite;2021-11-26;2467,78
FUN-33205;Lamar Calamari Borges;HTL-606;Recepção;Concierge;Manhã;2018-09-05;3461,94
FUN-03036;Laercio Aramis Archane;HTL-103;Manutenção;Eletricista Predial;Noite;2019-05-20;3031,9
FUN-39155;Ivanice Arago;HTL-878;Gestão;Gerente de Hospedagem;Noite;2019-10-08;9075,46
FUN-12576;Amireh Ishii;HTL-606;Manutenção;Eletricista Predial;Manhã;2018-12-11;4067,99
FUN-56921;Brigitte Machado Goto;HTL-785;A&B;Cozinheiro;Tarde;2017-10-15;3561,79
FUN-36723;Venâncio Falcão Vargas;HTL-878;Gestão;Gerente Geral;Noite;2023-06-24;17863,09
FUN-67710;Rosmari Loureiro;HTL-602;Governança;Supervisora de Andar;Noite;2018-06-27;2951,42
FUN-09102;Nildo Bomfim Arcillas;HTL-356;Manutenção;Técnico de Manutenção;Noite;2015-07-28;3506,07
FUN-57952;Ilse Noguchi;HTL-105;Recepção;Auditor Noturno;Noite;2018-07-13;2634,42
FUN-49170;Lorenna Sales Caldas;HTL-485;Manutenção;Eletricista Predial;Manhã;2023-10-21;3680,35
FUN-71082;Marcondes Serra Uchôa;HTL-782;Gestão;Gerente Geral;Noite;2019-05-25;14698,11
FUN-92125;Werner Boaventura Ameixial;HTL-485;A&B;Barman;Noite;2020-11-18;2985,89
FUN-64869;Berenice Amiral;HTL-105;Gestão;Gerente de Hospedagem;Manhã;2021-12-13;7780,23
FUN-63261;Kayla Cavalcanti Cavalli;HTL-485;A&B;Garçom;Noite;2016-11-21;2049,63
FUN-10947;Bruna Meissner;HTL-606;Governança;Supervisora de Andar;Manhã;2019-07-03;2421,19
FUN-83312;Hercílio Rezende Chiappetta;HTL-103;Gestão;Gerente de Hospedagem;Noite;2020-11-16;6996,56
FUN-16357;Darleni Soares Amevo;HTL-785;Gestão;Gerente de Hospedagem;Tarde;2018-03-03;8167,21
FUN-71493;Nerivaldo Hammes;HTL-108;Governança;Supervisora de Andar;Noite;2023-10-11;3187,77
FUN-79088;Cauã Rodrigues Lobato;HTL-606;Recepção;Concierge;Noite;2016-05-19;2617,7
FUN-70436;Lívio Carosi Portela;HTL-103;Governança;Supervisora de Andar;Manhã;2019-11-15;3060,94
FUN-28436;Damião Borges Carnevali;HTL-785;Gestão;Gerente Geral;Manhã;2021-06-24;16256,16
FUN-97855;Lorival Amende Krebs;HTL-878;Gestão;Gerente Geral;Noite;2019-06-08;13647,48
FUN-64755;Aruca Apolonia Amilis;HTL-485;Manutenção;Eletricista Predial;Tarde;2022-10-02;3165,46
FUN-48888;Mabele Brandão Aramburu;HTL-103;Recepção;Auditor Noturno;Noite;2016-01-13;2848,7
FUN-50083;Ivonete Capelli;HTL-878;A&B;Cozinheiro;Noite;2022-11-28;2752,05
FUN-76814;Akemi Vogt Graf;HTL-606;Recepção;Concierge;Manhã;2023-08-10;4157,59
FUN-73145;Brenno Ambiel Lemos;HTL-105;Recepção;Recepcionista;Manhã;2024-04-10;2237,64
FUN-41856;Iolanda Sakamoto;HTL-602;Gestão;Gerente de Hospedagem;Noite;2024-07-29;7529,13
FUN-92045;Deusdedit Apuzzo Santoro;HTL-103;Governança;Camareira;Noite;2023-10-17;2087,86
FUN-66926;Wiliam Drees Ambroses;HTL-782;A&B;Barman;Tarde;2024-11-30;2952,39
FUN-86160;Sidney Matsuda Quadros;HTL-785;Recepção;Auditor Noturno;Manhã;2015-12-22;3270,34
FUN-19473;Marcondes Siqueira;HTL-602;Manutenção;Eletricista Predial;Tarde;2018-06-05;3644,66
FUN-06798;Katia Matos Bui;HTL-103;A&B;Barman;Manhã;2023-07-02;2850,57
FUN-18700;Jaciete Serra;HTL-105;Manutenção;Eletricista Predial;Noite;2023-10-26;3327,6
