Reserva_ID;Quarto_ID;Hospede_ID;Canal_Venda;Data_Reserva;Data_Checkin;Data_Checkout;Qtd_Hospedes;Diaria_Media_Cobrada;Status_Reserva;Hotel_ID;Numero_Quarto;Andar;Tipo_Quarto;Capacidade_Pessoas;Vista;Tarifa_Base_Diaria;Hotel_Nome;Bandeira;Cidade;UF;Perfil_Destino;Categoria_Estrelas;Ano_Inauguracao;Nota_Media_Avaliacao;Hospede_Nome;CPF;Sexo;Data_Nascimento;Cidade_Origem;UF_Origem;Email;Telefone;Nivel_Fidelidade;Qtd_Lancamentos_Extras;Valor_Consumos_Extras
RSV-98405880;QRT-32164;HSP-514241;Site Próprio;2024-06-30;23-08-2024;26/08/2024;2;1711,69;Check-out Realizado;HTL-602;308;3;Suíte Master;4;Montanha;1209,42;Horizonte Plaza Gramado;Horizonte Plaza;Gramado;RS;serra;4;2001;7,9;Cassio Brun;630.198.642-32;M;1964-05-02;Porto Alegre;RS;cassio_brun27@uol.com.br;(41) 98426-8365;Prata;3,0;546,9
RSV-19402237;QRT-02711;HSP-304180;Agência de Turismo;2026-06-16;07.08.26;10-08-2026;2;872,15;Cancelada;HTL-485;401;4;Standard;2;Piscina;1134,06;Horizonte Grand Resort Porto de Galinhas;Horizonte Grand Resort;Porto de Galinhas;PE;praia;5;2009;8,6;Adlene Ludwig Farias;150.710.816-87;F;1954-09-17;Recife;PE;adlene_farias44@uol.com.br;(62) 97483-2032;Bronze;0,0;0,0
RSV-14036587;QRT-66195;HSP-609172;WEB;2026-04-06;10/04/2026;2026-04-13;2;1025,30;Check-out Realizado;HTL-356;104;1;Standard;2;Vale;1250,88;Horizonte Grand Resort Campos do Jordão;Horizonte Grand Resort;Campos do Jordão;SP;serra;5;2020;8,7;Altair Sacramento;152.654.610-86;M;1970-12-21;Curitiba;PR;altair.sacramento77@uol.com.br;(41) 98019-9333;Bronze;9,0;1934,87
RSV-06688879;QRT-96428;HSP-344453;site proprio;2024-10-26;10/12/2024;11/12/2024;3;R$ 245,40;Check-out Realizado;HTL-606;105;1;superior;3;Interna;299,83;Horizonte Express São Paulo;Horizonte Express;São Paulo;SP;urbano;3;2017;9,0;Quintino Antigao Abilio;861.341.749-39;M;1963-08-26;Rio de Janeiro;RJ;quintino.abilio@hotmail.com;(62) 96096-9973;Bronze;0,0;0,0
RSV-14951977;QRT-69835;HSP-312521;Site Próprio;2026-07-14;28/08/2026;31/08/2026;1;339,16;Confirmada;HTL-785;307;3;Standard;2;Piscina;467,51;Horizonte Plaza Búzios;Horizonte Plaza;Búzios;RJ;praia;4;2008;8,9;ANALICE ARÃO BASSETTI;488.074.488-31;F;1994-07-01;Porto Alegre;RS;analice.bassetti23@yahoo.com.br;(19) 96951-8365;Ouro;0,0;0,0
RSV-27875884;QRT-29485;HSP-510089;Agência de Turismo;2024-08-25;20-09-2024;23-09-2024;1;343,97;No-Show;HTL-602;301;3;Standard;2;Montanha;440,36;Horizonte Plaza Gramado;Horizonte Plaza;Gramado;RS;serra;4;2001;7,9;Andersa Araújo Diesel;123.503.687-18;F;1961-11-01;Porto Alegre;RS;andersa.diesel97@yahoo.com.br;(62) 98464-2223;Bronze;0,0;0,0
RSV-97442167;QRT-19577;HSP-080509;Site Próprio;2025-04-30;26/07/2025;27/07/2025;2;240,66;Check-out Realizado;HTL-606;204;2;Standard;2;Cidade;236,12;Horizonte Express São Paulo;Horizonte Express; São Paulo;SP;urbano;3;2017;9,0;Adriano Aralho Silveira;102.023.492-09;M;1989-11-11;Curitiba;PR;adriano_silveira89@yahoo.com.br;(21) 98248-4733;Prata;1,0;34,38
RSV-86358414;QRT-41316;HSP-030991;Site Próprio;2024-12-05;20/12/2024;24/12/2024;1;223,85;Check-out Realizado;HTL-105;212;2;Standard;2;Mata;220,87;Horizonte Express Foz do Iguaçu;Horizonte Express;Foz do Iguaçu;PR;eco;3;2013;8,8;Noriko Suzuki;620.306.951-57;F;1958-12-25;Curitiba;PR;noriko_suzuki87@gmail.com;(31) 96451-2931;Bronze;0,0;0,0
RSV-42115378;QRT-24337;HSP-001170;Site Próprio;2024-07-11;09/08/2024;12/08/2024;3;998,13;Check-out Realizado;HTL-785;112;1;Suíte Master;4;Mar;1247,81;Horizonte Plaza Búzios;Horizonte Plaza;Búzios;RJ;praia;4;2008;8,9;Adalmira Arconte Carneiro;471.656.094-58;F;1990-05-17;Niterói;RJ;adalmira_carneiro@hotmail.com;(51) 97755-8838;Bronze;3,0;148,66
RSV-48154482;QRT-63207;HSP-233959;Central Telefônica;2026-05-07;23.05.26;26/05/2026;2;362,14;Check-out Realizado;HTL-602;408;4;Standard;2;Montanha;428,21;Horizonte Plaza Gramado;Horizonte Plaza;Gramado;RS;serra;4;2001;7,9;Audineide Cabral Agostini;519.614.990-29;F;1984-06-26;Porto Alegre;RS;audineide.agostini@icloud.com;(51) 96114-1351;Ouro;4,0;390,05
RSV-56927133;QRT-92171;HSP-978416;OTA ViajaMais;2026-08-26;12/09/2026;2026-09-14;2;784,01;Confirmada;HTL-602;405;4;Standard;2;Vale;472,4;Horizonte Plaza Gramado;Horizonte Plaza;Gramado;RS;serra;4;2001;7,9;Jonas Arcon Alcantara;891.596.545-03;M;1956-09-13;Ribeirão Preto;SP;jonasalcantara@yahoo.com.br;(41) 97879-4022;Bronze;0,0;0,0
RSV-99662880;QRT-94225;HSP-307532;Site Próprio;2025-05-13;20-06-2025;23-06-2025;1;R$ 464,56;Check-out Realizado;HTL-602;110;1;Standard;2;Jardim;405,17;Horizonte Plaza Gramado;Horizonte Plaza;Gramado;RS;serra;4;2001;7,9;Arcelino Bertolucci;268.272.563-59;F;2005-03-13;Niterói;RJ;arcelinobertolucci8@uol.com.br;(31) 99651-3541;Ouro;5,0;864,09
RSV-88394026;QRT-25409;HSP-166854;Site Próprio;2025-10-26;09/01/2026;11/01/2026;2;937,24;Check-out Realizado;HTL-782;109;1;Superior;3;Piscina;497,82;Horizonte Plaza Bonito;Horizonte Plaza;Bonito;MS;eco;4;2022;7,9;Arcelina Adão Kobayashi;353.706.323-75;F;1955-09-02;Rio de Janeiro;RJ;arcelina.kobayashi10@yahoo.com.br;(21) 98492-6797;Bronze;2,0;168,72
RSV-30988383;QRT-80306;HSP-332089;Balcão;2024-09-20;20/09/2024;25/09/2024;1;542,18;Check-out Realizado;HTL-105;406;4;Superior;3;Mata;312,44;Horizonte Express Foz do Iguaçu;Horizonte Express;Foz do Iguaçu;PR;eco;3;2013;8,8;Ettore Arnaldi Amiran;352.151.734-94;M;1996-02-06;Londrina;PR;ettore_amiran@gmail.com;(19) 99902-9725;Bronze;2,0;626,0
RSV-80892010;QRT-24594;HSP-715107;OTA BookNow;2026-03-20;20.04.26;2026-04-22;3;485,83;Check-out Realizado;HTL-108;403;4;Luxo;3;Cidade;569,76;Horizonte Plaza Belo Horizonte;Horizonte Plaza;Belo Horizonte;MG;urbano;4;2003;7,6;César Amerino;524.392.295-12;M;1987-09-17;Campinas;SP;cesar.amerino87@icloud.com;(51) 98325-7457;Ouro;1,0;239,58
RSV-05084508;QRT-66101;HSP-987784;OTA BookNow;2026-02-21;10/03/2026;2026-03-13;1;327,71;Check-out Realizado;HTL-108;105;1;STD;2;Cidade;385,96;Horizonte Plaza Belo Horizonte;Horizonte Plaza;Belo Horizonte;MG;urbano;4;2003;7,6;Erivan Ehrlich Campi;067.730.978-35;M;1950-04-27;Porto Alegre;RS;erivan.campi79@uol.com.br;(41) 97045-7559;Diamante;1,0;23,2
RSV-60106577;QRT-35519;HSP-172007;OTA ViajaMais;2026-04-11;22/05/2026;25/05/2026;4;611,80;Check-out Realizado;HTL-878;311;3;Suíte Master;4;Piscina;813,7;Horizonte Plaza Maceió;Horizonte Plaza;Maceió;AL;praia;4;1999;9,0;Baldomiro Leal Hermann;600.892.196-86;M;1971-07-23;Ribeirão Preto;SP;baldomiro.hermann@outlook.com;(61) 97741-9394;Ouro;8,0;528,96
RSV-72523192;QRT-76454;HSP-814655;WEB;2025-12-01;19.12.25;23/12/2025;4;579,71;Check-out Realizado;HTL-103;303;3;Suíte Master;4;Piscina;442,19;Horizonte Express Florianópolis;Horizonte Express;Florianópolis;SC;praia;3;2004;8,7;Oldair Anzolin Alencar;694.611.952-57;M;1990-07-27;Goiânia;GO;oldair_alencar@icloud.com;(19) 98863-6047;Prata;1,0;156,03
RSV-24845898;QRT-31930;HSP-435544;OTA BookNow;2026-01-16;2026-01-24;28/01/2026;2;1524,33;Check-out Realizado;HTL-602;103;1;Luxo;3;Montanha;851,27;Horizonte Plaza Gramado;Horizonte Plaza;Gramado;RS;serra;4;2001;7,9;Elionara Mayer;157.333.538-05;F;1973-04-03;Londrina;PR;elionara.mayer@uol.com.br;(11) 96755-5041;Ouro;7,0;1202,74
RSV-88050329;QRT-92964;HSP-491545;Site Próprio;2025-12-28;07.02.26;09/02/2026;1;1459,85;Check-out Realizado;HTL-485;308;3;Standard;2;Piscina;1266,05;Horizonte Grand Resort Porto de Galinhas;Horizonte Grand Resort;Porto de Galinhas;PE;praia;5;2009;8,6;Ulisses Uchôa Alvisio;876.612.177-91;M;1963-10-11;Rio de Janeiro;RJ;ulissesalvisio@outlook.com;(51) 97272-2775;Ouro;5,0;2431,9
RSV-24155284;QRT-74428;HSP-346367;OTA BookNow;2025-01-27;25/03/2025;28/03/2025;1;755,42;Check-out Realizado;HTL-602;102;1;Standard;2;Montanha;535,95;Horizonte Plaza Gramado;Horizonte Plaza;Gramado;RS;serra;4;2001;7,9;Poliani Nishimura;435.695.139-55;F;1986-10-28;Campinas;SP;poliani_nishimura@outlook.com;(81) 97251-4771;Bronze;5,0;1650,03
RSV-39219347;QRT-89410;HSP-656870;Central Telefônica;2025-03-18;11/04/2025;14/04/2025;1;300,90;Check-out Realizado;HTL-606;102;1;Standard;2;Cidade;235,65;Horizonte Express São Paulo;Horizonte Express;São Paulo;SP;urbano;3;2017;9,0;Cecília Amernes Coelho;207.066.901-76;F;1956-08-20;Rio de Janeiro;RJ;cecilia.coelho@hotmail.com;(41) 97970-3404;Ouro;1,0;110,7
RSV-17923284;QRT-11826;HSP-024844;Site Próprio;2025-05-04;2025-06-30;02.07.25;1;846,90;Cancelada;HTL-108;303;3;Luxo;3;Cidade;672,13;Horizonte Plaza Belo Horizonte;Horizonte Plaza;Belo Horizonte;MG;urbano;4;2003;7,6;Amós Souza Portela;517.136.445-17;M;2007-03-31;Uberlândia;MG;amosportela@icloud.com;(31) 96996-7959;Prata;0,0;0,0
RSV-18996536;QRT-02007;HSP-667740;OTA BookNow;2026-05-26;16/08/2026;17/08/2026;1;567,80;Confirmada;HTL-606;111;1;Suíte Master;4;Cidade;417,07;Horizonte Express São Paulo;Horizonte Express;São Paulo;SP;urbano;3;2017;9,0;Aelma Azevedo;302.419.350-24;F;1968-08-01;Campinas;SP;aelmaazevedo@gmail.com;(61) 97092-3866;Prata;0,0;0,0
RSV-36425881;QRT-75030;HSP-101025;OTA BookNow;2026-04-11;20/04/2026;23/04/2026;2;354,57;Check-out Realizado;HTL-602;204;2;Standard;2;Montanha;497,35;Horizonte Plaza Gramado;Horizonte Plaza;Gramado;RS;serra;4;2001;7,9;Wilza Holanda Archane;207.480.155-66;F;1999-08-18;São Paulo;SP;wilzaarchane@gmail.com;(61) 97576-6151;Ouro;1,0;222,28
RSV-09994119;QRT-95712;HSP-553623;Agência de Turismo;2024-09-30;17/01/2025;2025-01-20;1;392,07;Check-out Realizado;HTL-602;304;3;Standard;2;Vale;511,89;Horizonte Plaza Gramado;Horizonte Plaza;Gramado;RS;serra;4;2001;7,9;Joseilton Xavier Flores;525.177.485-00;M;1991-01-20;Ribeirão Preto;SP;joseilton_flores84@yahoo.com.br;(51) 99737-3550;Bronze;4,0;485,76
RSV-94201524;QRT-53917;HSP-086574;OTA ViajaMais;2026-03-13;05/04/2026;08/04/2026;2;1022,87;Check-out Realizado;HTL-485;102;1;SUP;3;Mar;1110,47;Horizonte Grand Resort Porto de Galinhas;Horizonte Grand Resort;Porto de Galinhas;PE;praia;5;2009;8,6;Quintino Bignami;271.463.554-70;M;1948-12-06;Salvador;BA;quintino.bignami@yahoo.com.br;(62) 99345-7784;Diamante;4,0;404,67
RSV-52909252;QRT-03659;HSP-033355;Site Próprio;2025-12-09;18/12/2025;2025-12-21;2;1235,06;Cancelada;HTL-485;302;3;STD;2;Jardim;926,44;Horizonte Grand Resort Porto de Galinhas;Horizonte Grand Resort;Porto de Galinhas;PE;praia;5;2009;8,6;Célia Arcola Chierichetti;551.164.369-69;F;1985-05-30;Salvador;BA;celia.chierichetti@uol.com.br;(41) 97931-8965;Prata;0,0;0,0
RSV-36733977;QRT-02141;HSP-070446;OTA ViajaMais;2025-09-01;06/10/2025;09/10/2025;1;885,29;Check-out Realizado;HTL-485;503;5;Standard;2;Mar;1201,85;Horizonte Grand Resort Porto de Galinhas;Horizonte Grand Resort;Porto de Galinhas;PE;praia;5;2009;8,6;Zeferino Saito Antonioli;561.581.811-53;M;1971-03-19;Londrina;PR;zeferino.antonioli@uol.com.br;(81) 97181-3476;Prata;8,0;2865,88
RSV-68039081;QRT-97434;HSP-840628;Site Próprio;2024-10-09;02-11-2024;04/11/2024;4;339,98;Check-out Realizado;HTL-606;209;2;Suíte Master;4;Cidade;515,73;Horizonte Express São Paulo;Horizonte Express;São Paulo;SP;urbano;3;2017;9,0;Tupã Feiler;001.581.236-70;M;1973-12-28;Porto Alegre;RS;tupa.feiler24@outlook.com;(81) 98644-5676;Diamante;2,0;74,51
RSV-44911442;QRT-43330;HSP-745592;Central Telefônica;2024-10-11;19.10.24;21/10/2024;2;472,44;Check-out Realizado;HTL-878;106;1;Superior;3;Piscina;633,49;Horizonte Plaza Maceió;Horizonte Plaza;Maceió;AL;praia;4;1999;9,0;Alcir Ardito;256.529.060-81;M;1978-01-10;Curitiba;PR;alcir.ardito@gmail.com;(31) 98599-1558;Bronze;3,0;770,33
RSV-52942321;QRT-37102;HSP-290443;Balcão;2024-11-10;10/11/2024;13/11/2024;1;261,36;No-Show;HTL-105;201;2;Superior;3;Jardim;321,68;Horizonte Express Foz do Iguaçu;Horizonte Express;Foz do Iguaçu;PR;eco;3;2013;8,8;Karina Amércio;967.025.891-07;F;1977-08-21;Uberlândia;MG;karina.amercio@gmail.com;(16) 97971-4975;Diamante;0,0;0,0
RSV-23984169;QRT-26716;HSP-258052;OTA ViajaMais;2026-05-15;24/06/2026;28/06/2026;1;2268,91;Check-out Realizado;HTL-356;212;2;Superior;3;Montanha;1480,14;Horizonte Grand Resort Campos do Jordão;Horizonte Grand Resort;Campos do Jordão  ;SP;serra;5;2020;8,7;Jacinto Silva Kaiser;541.892.588-14;M;1976-03-29;Rio de Janeiro;RJ;jacinto.kaiser99@gmail.com;(11) 99647-4805;Bronze;12,0;3785,28
RSV-92617998;QRT-26716;HSP-218944;Site Próprio;2025-12-19;17/03/2026;22/03/2026;3;906,04;Check-out Realizado;HTL-356;212;2;Superior;3;Montanha;1480,14;Horizonte Grand Resort Campos do Jordão;Horizonte Grand Resort;Campos do Jordão;SP;serra;5;2020;8,7;Ivanildo Amezola;974.469.707-58;M;1980-03-09;Campinas;SP;ivanildo.amezola68@icloud.com;(81) 97353-2113;Diamante;10,0;1418,81
RSV-19111589;QRT-27723;HSP-451786;OTA BookNow;2024-07-30;2024-09-06;08-09-2024;2;362,42;Check-out Realizado;HTL-606;212;2;Superior;3;Cidade;261,89;Horizonte Express São Paulo;Horizonte Express;São Paulo;SP;urbano;3;2017;9,0;Taise Krause Vale;122.341.499-08;F;1980-08-09;Uberlândia;MG;taise.vale@gmail.com;(81) 98876-7840;Ouro;0,0;0,0
RSV-10791350;QRT-60540;HSP-129198;OTA BookNow;2025-04-30;31/07/2025;04/08/2025;1;904,42;Check-out Realizado;HTL-782;204;2;Superior;3;Piscina;629,28;Horizonte Plaza Bonito;Horizonte Plaza;Bonito;MS;eco;4;2022;7,9;Cirlei Nascimento;317.985.490-18;F;1992-02-07;Londrina;PR;cirlei.nascimento78@gmail.com;(41) 97950-3676;Prata;2,0;74,74
RSV-38128935;QRT-75043;HSP-356846;Site Próprio;2025-07-30;23/10/2025;24-10-2025;2;251,27;No-Show;HTL-606;206;2;Standard;2;Interna;185,11;Horizonte Express São Paulo;Horizonte Express;São Paulo;SP;urbano;3;2017;9,0;Wolmir Löffler Franzen;498.749.320-90;M;1956-11-27;Niterói;RJ;wolmir.franzen@hotmail.com;(31) 97548-7597;Bronze;0,0;0,0
RSV-12420315;QRT-02862;HSP-461328;Site Próprio;2025-11-24;30/01/2026;02/02/2026;2;694,17;Check-out Realizado;HTL-356;211;2;Superior;3;Vale;881,2;Horizonte Grand Resort Campos do Jordão;Horizonte Grand Resort;Campos do Jordao;SP;serra;5;2020;8,7;Edson Barbosa;223.801.370-99;M;2001-04-12;Niterói;RJ;edson.barbosa73@icloud.com;(62) 99635-2490;Prata;2,0;677,05
RSV-64954484;QRT-04542;HSP-682524;OTA BookNow;2025-02-07;30/05/2025;04-06-2025;1;1081,51;Check-out Realizado;HTL-356;204;2;Standard;2;Montanha;1285,68;Horizonte Grand Resort Campos do Jordão;Horizonte Grand Resort;Campos do Jordão;SP;serra;5;2020;8,7;Joel Barbieri Chiappetta;157.980.058-01;M;1971-03-09;Londrina;PR;joel.chiappetta83@uol.com.br;(16) 98605-4902;Bronze;16,0;3759,73
RSV-27150890;QRT-92558;HSP-237955;OTA - BookNow;2025-11-23;09/01/2026;14/01/2026;2;1524,61;Check-out Realizado;HTL-782;212;2;Lux;3;Piscina;777,55;Horizonte Plaza Bonito;Horizonte Plaza;Bonito;MS;eco;4;2022;7,9;Apolo Nogueira Marinho;014.081.235-09;M;1974-04-02;Belo Horizonte;MG;apolo_marinho11@yahoo.com.br;(16) 99346-7267;Bronze;2,0;423,84
RSV-32264371;QRT-96617;HSP-654303;OTA ViajaMais;2025-07-11;22/08/2025;26/08/2025;2;409,00;No-Show;HTL-602;107;1;Standard;2;Vale;380,73;Horizonte Plaza Gramado;Horizonte Plaza;Gramado;RS;serra;4;2001;7,9;josefa amira merten;756.398.365-12;F;1985-01-12;Salvador;BA;josefa.merten@gmail.com;(41) 97810-6914;Diamante;0,0;0,0
RSV-69261614;QRT-87654;HSP-888475;OTA ViajaMais;2025-09-08;16/12/2025;18/12/2025;1;490,27;Check-out Realizado;HTL-108;202;2;Luxo;3;Interna;667,28;Horizonte Plaza Belo Horizonte;Horizonte Plaza;Belo Horizonte;MG;urbano;4;2003;7,6;Luiz Bittencourt Casiraghi;482.721.484-04;M;2003-06-27;Curitiba;PR;luiz_casiraghi51@hotmail.com;(16) 99211-8790;Diamante;5,0;1063,18
RSV-84919497;QRT-41338;HSP-786207;Site Próprio;2024-07-24;27/09/2024;29/09/2024;1;297,15;Check-out Realizado;HTL-782;111;1;standard;2;Piscina;440,04;Horizonte Plaza Bonito;Horizonte Plaza;Bonito;MS;eco;4;2022;7,9;Massimo Buscemi;166.366.228-22;M;1949-01-06;Niterói;RJ;massimo_buscemi@outlook.com;(51) 96296-5753;Diamante;4,0;849,27
RSV-26756994;QRT-86876;HSP-740654;OTA BookNow;2025-04-29;18/07/2025;25/07/2025;2;953,87;Check-out Realizado;HTL-785;309;3;Superior;3;Jardim;600,52;Horizonte Plaza Búzios;Horizonte Plaza;Búzios;RJ;praia;4;2008;8,9;Jordana Amezola;230.755.786-57;F;1963-06-11;Ribeirão Preto;SP;jordanaamezola41@uol.com.br;(51) 96410-4220;Bronze;6,0;465,57
RSV-29493142;QRT-99814;HSP-944268;OTA BookNow;2026-03-14;01/06/2026;06/06/2026;2;777,34;Check-out Realizado;HTL-602;302;3;Standard;2;Vale;488,85;Horizonte Plaza Gramado;Horizonte Plaza;Gramado;RS;serra;4;2001;7,9;Liarys Merten Arduchat;800.750.682-90;F;1953-08-22;Porto Alegre;RS;liarys.arduchat@hotmail.com;(16) 96962-4669;Prata;8,0;1042,94
RSV-21140638;QRT-14866;HSP-417260;Balcão;2026-01-03;03/01/2026;04.01.26;2;291,00;Check-out Realizado;HTL-606;510;5;LUXO;3;Avenida;357,89;Horizonte Express São Paulo;Horizonte Express;São  Paulo;SP;urbano;3;2017;9,0;Tamires Anjinho Antenor;108.667.042-64;F;1950-02-12;Londrina;PR;tamiresantenor@icloud.com;(16) 98452-1302;Prata;0,0;0,0
RSV-36418380;QRT-77305;HSP-814866;AGENCIA;2026-07-16;16-09-2026;23/09/2026;2;286,03;Confirmada;HTL-878;202;2;Standard;2;Jardim;449,37;Horizonte Plaza Maceió;Horizonte Plaza;MACEIÓ;AL;praia;4;1999;9,0;Tobias Matos Alegria;418.135.998-07;M;1959-01-06;Salvador;BA;tobiasalegria@uol.com.br;(16) 99689-3401;Prata;0,0;0,0
RSV-47449001;QRT-93180;HSP-296375;OTA BookNow;2026-05-19;05/06/2026;10/06/2026;3;851,33;Check-out Realizado;HTL-485;212;2;Superior;3;Mar;1090,02;Horizonte Grand Resort Porto de Galinhas;Horizonte Grand Resort;Porto de Galinhas;PE;praia;5;2009;8,6;Célia Callegari;090.805.120-44;F;1989-07-06;Brasília;DF;celiacallegari42@yahoo.com.br;(51) 96113-7141;Diamante;11,0;2412,39
RSV-52474885;QRT-78380;HSP-810572;Site Próprio;2026-06-07;05-09-2026;08/09/2026;3;368,81;Confirmada;HTL-105;305;3;SUP;3;Piscina;236,42;Horizonte Express Foz do Iguaçu;Horizonte Express;Foz do Iguaçu;PR;eco;3;2013;8,8;Anselmo Aranda Loureiro;581.920.487-56;M;1984-12-17;Porto Alegre;RS;anselmo_loureiro64@icloud.com;(19) 99397-4248;Bronze;0,0;0,0
RSV-83662659;QRT-28212;HSP-448614;Site Próprio;2025-12-21;16/01/2026;20/01/2026;1;3412,65;Check-out Realizado;HTL-485;311;3;Luxo;3;Piscina;1857,54;Horizonte Grand Resort Porto de Galinhas;Horizonte Grand Resort;Porto de Galinhas;PE;praia;5;2009;8,6;Anacleto Ribeiro Ferreira;359.517.635-92;M;1977-08-29;Niterói;RJ;anacleto.ferreira31@icloud.com;(11) 96614-4042;Diamante;7,0;892,99
